course_id,skill_id,similarity
c_py_001,s_python,0.85
c_py_002,s_python,0.85
c_py_003,s_python,0.85
c_py_004,s_python,0.85
c_st_001,s_stats,0.85
c_st_001,s_python,0.85
c_st_002,s_stats,0.85
c_st_003,s_stats,0.85
c_ml_001,s_ml,0.85
c_ml_001,s_python,0.85
c_ml_002,s_ml,0.85
c_ml_002,s_python,0.85
c_ml_002,s_pandas,0.85
c_ml_003,s_ml,0.85
c_ml_003,s_python,0.85
c_ml_004,s_ml,0.85
c_ml_004,s_python,0.85
c_ml_004,s_feature_eng,0.85
c_dl_001,s_dl,0.85
c_dl_001,s_ml,0.85
c_dl_001,s_python,0.85
c_dl_002,s_dl,0.85
c_dl_002,s_python,0.85
c_dl_003,s_dl,0.85
c_dl_003,s_python,0.85
c_sql_001,s_sql,0.85
c_sql_002,s_sql,0.85
c_sql_003,s_sql,0.85
c_viz_001,s_data_viz,0.85
c_viz_001,s_python,0.85
c_viz_001,s_pandas,0.85
c_viz_002,s_data_viz,0.85
c_pd_001,s_pandas,0.85
c_pd_001,s_python,0.85
c_pd_001,s_data_viz,0.85
c_pd_002,s_pandas,0.85
c_pd_002,s_python,0.85
c_nlp_001,s_nlp,0.85
c_nlp_001,s_dl,0.85
c_nlp_001,s_python,0.85
c_nlp_002,s_nlp,0.85
c_nlp_002,s_dl,0.85
c_cv_001,s_cv,0.85
c_cv_001,s_dl,0.85
c_cv_001,s_python,0.85
c_cv_002,s_cv,0.85
c_cv_002,s_python,0.85
c_mlops_001,s_mlops,0.85
c_mlops_001,s_ml,0.85
c_mlops_001,s_docker,0.85
c_mlops_002,s_mlops,0.85
c_mlops_002,s_dl,0.85
c_mlops_002,s_docker,0.85
c_docker_001,s_docker,0.85
c_cloud_001,s_cloud,0.85
c_cloud_001,s_mlops,0.85
c_fe_001,s_feature_eng,0.85
c_fe_001,s_pandas,0.85
c_fe_001,s_python,0.85
c_ds_001,s_python,0.85
c_ds_001,s_sql,0.85
c_ds_001,s_ml,0.85
c_ds_001,s_data_viz,0.85
c_ds_001,s_pandas,0.85
c_ds_002,s_sql,0.85
c_ds_002,s_data_viz,0.85
c_ds_002,s_stats,0.85
c_git_001,s_git,0.85
c_r_001,s_r,0.85
c_r_001,s_stats,0.85
